date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:51	98024/98024	---M--	200	added ('OK')	font/woff	date:Tue,%2026%20Feb%202019%2006:37:40%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/icon-fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/icon-fonts/fontawesome-webfont3e6e.woff	(from https://internship.suvenconsultants.com/projects/tutorialspoint/css/font-awesome.min.css)
14:52:52	16012/16012	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Feb%202019%2006:39:51%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/img/categories/1.jpg	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/img/categories/1.jpg	(from https://internship.suvenconsultants.com/projects/tutorialspoint/index.html)
14:52:52	12844/12844	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Feb%202019%2006:39:53%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/img/categories/2.jpg	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/img/categories/2.jpg	(from https://internship.suvenconsultants.com/projects/tutorialspoint/index.html)
14:52:52	10487/10487	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Feb%202019%2006:39:53%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/img/categories/3.jpg	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/img/categories/3.jpg	(from https://internship.suvenconsultants.com/projects/tutorialspoint/index.html)
14:52:53	18180/18180	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Feb%202019%2006:39:53%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/img/categories/4.jpg	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/img/categories/4.jpg	(from https://internship.suvenconsultants.com/projects/tutorialspoint/index.html)
14:52:53	13955/13955	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Feb%202019%2006:39:53%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/img/categories/5.jpg	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/img/categories/5.jpg	(from https://internship.suvenconsultants.com/projects/tutorialspoint/index.html)
14:52:53	14880/14880	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Feb%202019%2006:39:52%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/img/categories/6.jpg	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/img/categories/6.jpg	(from https://internship.suvenconsultants.com/projects/tutorialspoint/index.html)
14:52:54	103452/103452	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Feb%202019%2006:39:35%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/img/blog/1.jpg	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/img/blog/1.jpg	(from https://internship.suvenconsultants.com/projects/tutorialspoint/blog.html)
14:52:56	112888/112888	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Feb%202019%2006:39:36%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/img/blog/2.jpg	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/img/blog/2.jpg	(from https://internship.suvenconsultants.com/projects/tutorialspoint/blog.html)
14:52:56	279488/279488	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Feb%202019%2006:40:54%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/img/page-bg/3.jpg	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/img/page-bg/3.jpg	(from https://internship.suvenconsultants.com/projects/tutorialspoint/blog.html)
14:52:57	17465/17465	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Feb%202019%2006:39:15%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/img/authors/1.jpg	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/img/authors/1.jpg	(from https://internship.suvenconsultants.com/projects/tutorialspoint/blog.html)
14:52:57	19046/19046	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Feb%202019%2006:39:15%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/img/authors/2.jpg	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/img/authors/2.jpg	(from https://internship.suvenconsultants.com/projects/tutorialspoint/blog.html)
14:52:58	17802/17802	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Feb%202019%2006:39:16%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/img/authors/3.jpg	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/img/authors/3.jpg	(from https://internship.suvenconsultants.com/projects/tutorialspoint/blog.html)
14:52:58	107165/107165	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Feb%202019%2006:39:36%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/img/blog/3.jpg	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/img/blog/3.jpg	(from https://internship.suvenconsultants.com/projects/tutorialspoint/blog.html)
14:52:58	681/681	---M--	200	added ('OK')	application/javascript	date:Tue,%2026%20Feb%202019%2006:41:56%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/js/map.js	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/js/map.js	(from https://internship.suvenconsultants.com/projects/tutorialspoint/contact.html)
14:53:02	181998/181998	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Feb%202019%2006:40:58%20GMT	https://internship.suvenconsultants.com/projects/tutorialspoint/img/page-bg/4.jpg	C:/My%20Web%20Sites/tu%20one/internship.suvenconsultants.com/projects/tutorialspoint/img/page-bg/4.jpg	(from https://internship.suvenconsultants.com/projects/tutorialspoint/contact.html)
